,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
0,1,2600000,New Property,Ready To Move,Broker RERA,Yes, Doddaballapur Road,644
1,3,6999000,Resale,Ready To Move,Individual,No, Jigani,1228
2,3,10500000,Resale,Ready To Move,Individual,Yes, Thanisandra,1515
3,3,5800000,New Property,Ready To Move,Individual,No, TC Palya,1500
4,3,18000000,Resale,Ready To Move,Broker,No, Electronic City Phase I,1585
5,3,18500000,Resale,Ready To Move,Individual,Yes, Sarjapur,1536
6,2,9000000,Resale,Ready To Move,Individual,No, Yelahanka New Town,1076
7,3,21000000,New Property,Ready To Move,Broker,Yes, International Airport Road,1463
8,4+,24000000,New Property,Ready To Move,Broker,Yes, International Airport Road,2124
9,3,12500000,Resale,Ready To Move,Individual,No, Muthanallur,1900
10,2,15100000,New Property,Ready To Move,Broker,Yes, International Airport Road,1273
11,3,8500000,Resale,Ready To Move,Broker,No, Bannerghatta Jigani Road,1691
12,2,14000000,New Property,Ready To Move,Broker,Yes, International Airport Road,1200
13,3,12300000,New Property,Ready To Move,Broker,Yes, Hennur Bagalur Road,1900
14,3,20700000,New Property,Ready To Move,Broker,Yes, Chikkagubbi Village,1899
15,3,24300000,New Property,Ready To Move,Broker,Yes, International Airport Road,1696
16,4,27600000,New Property,Ready To Move,Broker,Yes, Thanisandra Ma,2553
17,3,22700000,New Property,Ready To Move,Broker,Yes, Devanahalli,2540
18,3,13400000,New Property,Ready To Move,Broker,Yes, Whitefield,1645
19,3,32300000,New Property,Ready To Move,Broker,Yes, Jayanagar,2037
20,2,27600000,New Property,Ready To Move,Broker,Yes, Jayanagar,1730
21,3,36500000,New Property,Ready To Move,Broker,No, Malleshwaram,2215
22,4,36300000,New Property,Ready To Move,Broker,Yes, Budigere Cross,3712
23,2,13200000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,1435
24,2,5753000,Resale,Ready To Move,Broker,Yes, Bagaluru,999
25,3,14700000,New Property,Ready To Move,Broker,Yes, Haralur Road,1470
26,3,24000000,New Property,Ready To Move,Broker,Yes, JP Nagar Phase 6,2332
27,3,7800000,Resale,Ready To Move,Individual,Yes, Mysore Road,1082
28,3,9000000,Resale,Ready To Move,Individual,Yes, KR Puram,1485
29,3,7800000,Resale,Ready To Move,Individual,Yes, Mysore Road,1079
30,4+,40000000,New Property,Ready To Move,Broker,No, Banashankari,3024
31,4,25200000,Resale,Ready To Move,Broker,No, Whitefield,2163
32,3,30000000,New Property,Ready To Move,Broker,No, Banashankari,2380
33,3,13500000,Resale,Ready To Move,Broker,No, Chikkagubbi Village,1720
34,3,13700000,Resale,Ready To Move,Broker,No, Chikkavaderapura,1424
35,4+,100000000,New Property,Ready To Move,Broker,No, Whitefield,6500
36,4+,55000000,Resale,Ready To Move,Broker,No, Sadashiv Nagar,3370
37,4+,29500000,New Property,Ready To Move,Broker,No, Sarjapur,3904
38,4,21500000,Resale,Ready To Move,Broker,No, Sarjapur Road,2885
39,4,35600000,New Property,Ready To Move,Broker,No, Whitefield,2968
40,2,12000000,New Property,Ready To Move,Broker,No, KR Puram,1101
41,4+,30500000,New Property,Ready To Move,Broker,No, Devanahalli,3195
42,2,15900000,New Property,Ready To Move,Broker,Yes, Haralur Road,1425
43,2,12000000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1260
44,4,24300000,New Property,Ready To Move,Broker,Yes, Whitefield,2371
45,3,11700000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1281
46,3,14200000,New Property,Ready To Move,Broker,Yes, Yeshwanthpur,1550
