NumberOfBHK,Price,Transaction,BuiltUpArea,Availability,PostedDate,PostedBy,ReraApproved,AreaName
Semi Furnished 3,69.99 Lakh,Resale,1228 Sq.Ft.,Ready To Move,07-Dec-2024,Individual,No," Jigani, Bangalore at DLF Woodland Heights"
3,1.05 Crore,Resale,1515 Sq.Ft.,Ready To Move,13-Nov-2024,Individual,Yes," Thanisandra, Bangalore"
3,58 Lakhs,New Property,1500 Sq.Ft.,Ready To Move,16-Dec-2024,Individual,No," TC Palya, Bangalore"
3,1.80 Crore,Resale,1585 Sq.Ft.,Ready To Move,13-Dec-2024,Broker,No," Electronic City Phase I, Bangalore"
3,1.85 Crore,Resale,1536 Sq.Ft.,Ready To Move,06-Dec-2024,Individual,Yes," Sarjapur, Bangalore"
2,90 Lakhs,Resale,1076 Sq.Ft.,Ready To Move,10-Dec-2024,Individual,No," Yelahanka New Town, Bangalore"
2,1.40 Crore,New Property,1200 Sq.Ft.,Ready To Move,27-Nov-2024,Broker,Yes," International Airport Road, Bangalore"
3,2.10 Crore,New Property,1463 Sq.Ft.,Ready To Move,27-Nov-2024,Broker,Yes," International Airport Road, Bangalore"
3,85 Lakhs,Resale,1691 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Bannerghatta Jigani Road, Bangalore"
4+,2.40 Crore,New Property,2124 Sq.Ft.,Ready To Move,27-Nov-2024,Broker,Yes," International Airport Road, Bangalore"
4,2.76 Crore,New Property,2553 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,Yes, Thanisandra Ma
3,1.25 Crore,Resale,1900 Sq.Ft.,Ready To Move,16-Nov-2024,Individual,No," Muthanallur, Bangalore"
3,2.07 Crore,New Property,1899 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,Yes," Chikkagubbi Village, Bangalore"
3,1.23 Crore,New Property,1900 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,Yes," Hennur Bagalur Road, Bangalore"
3,2.43 Crore,New Property,1696 Sq.Ft.,Ready To Move,27-Nov-2024,Broker,Yes," International Airport Road, Bangalore"
2,1.51 Crore,New Property,1273 Sq.Ft.,Ready To Move,27-Nov-2024,Broker,Yes," International Airport Road, Bangalore"
4,1.75 Crore,New Property,2400 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,Yes," Sarjapur, Bangalore"
3,90.56 Lakh,Resale,1535 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,Yes," Varthur Road, Bangalore"
2,60 Lakhs,New Property,1199 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,Yes," Kengeri, Bangalore"
3,2.30 Crore,New Property,2000 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,Yes," Sarjapur Road, Bangalore"
2,1.63 Crore,New Property,1570 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," JP Nagar, Bangalore"
3,1.60 Crore,New Property,1680 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Chikkavaderapura, Bangalore"
